movie_id,primary_title,start_year,runtime_minutes
tt0183423,Love Beat the Hell Outta Me,2000,89
tt0183488,A Man Is Mostly Water,2000,110
tt0183505,"Me, Myself & Irene",2000,116
tt0183523,Mission to Mars,2000,114
tt0183550,My Mother Frank,2000,95
tt0183639,The Pavilion,2000,94
tt0183649,Phone Booth,2002,81
tt0183659,Pollock,2000,122
tt0183790,A Knight's Tale,2001,132
tt0183808,Spanish Judges,2000,98
tt0183869,Taxi 2,2000,88
tt0184009,What I Like About You,2000,90
tt0184457,"Farewell, My Love",2000,90
tt0184719,Maryam,2002,87
tt0184791,O,2001,95
tt0184858,Reindeer Games,2000,104
tt0184894,Shanghai Noon,2000,110
tt0184907,Snow Day,2000,89
tt0185007,Whispers: An Elephant's Tale,2000,72
tt0185014,Wonder Boys,2000,107
tt0185183,Battlefield Earth,2000,117
tt0185431,Little Nicky,2000,90
tt0185542,New Year's Day,2000,101
tt0186029,Dirk and Betty,2000,92
tt0186045,Drowning Mona,2000,96
tt0186151,Frequency,2000,118
tt0186183,The Guilty,2000,108
tt0186202,Cowboy Up,2001,105
tt0186221,A House by the Sea,2000,93
tt0186454,Point Doom,2000,100
tt0186549,The Simian Line,2000,106
tt0186566,Space Cowboys,2000,130
tt0186589,Sugar & Spice,2001,81
tt0186719,The Young Unknowns,2000,87
tt0186785,Greener,2004,89
tt0186894,Bounce,2000,106
tt0186975,Down to You,2000,91
tt0187078,Gone in 60 Seconds,2000,118
tt0187251,Lovers Lane,2000,90
tt0187387,Living the Life,2000,90
tt0187393,The Patriot,2000,165
tt0187512,She Gets What She Wants,2002,92
tt0187559,Playing Mona Lisa,2000,97
tt0187696,Anatomy,2000,103
tt0187738,Blade II,2002,117
tt0187750,Primary Suspect,2000,91
tt0187761,Brooklyn Sonnet,2000,95
tt0187847,Fear of Fiction,2000,99
tt0188045,Magicians,2000,108
tt0188055,Mercy,2000,117
tt0188128,Very Annie Mary,2001,104
tt0188160,Price of Glory,2000,118
tt0188453,Birthday Girl,2001,93
tt0188490,Catalina Trust,2000,92
tt0188518,Complicity,2000,99
tt0188575,Dragon and the Hawk,2001,86
tt0188688,Insatiable Wives,2000,78
tt0189192,Just Visiting,2001,88
tt0189456,Cut,2000,82
tt0189541,Gabriela,2001,93
tt0189998,Shadow of the Vampire,2000,92
tt0190052,Surrender,2000,94
tt0190138,The Whole Nine Yards,2000,98
tt0190332,"Crouching Tiger, Hidden Dragon",2000,120
tt0190374,Dungeons & Dragons,2000,107
tt0190398,Flight of Fancy,2000,96
tt0190449,Heller als der Mond,2000,88
tt0190524,Left Behind: The Movie,2000,100
tt0190590,"O Brother, Where Art Thou?",2000,107
tt0190736,Sand,2000,89
tt0190861,Vatel,2000,103
tt0190865,Vertical Limit,2000,124
tt0190938,Swindle,2002,93
tt0190994,Cold Blooded,2000,97
tt0191037,Circus,2000,95
tt0191074,New Best Friend,2002,91
tt0191133,The Fighting Temptations,2003,123
tt0191177,Dischord,2001,102
tt0191211,Jersey Guy,2003,90
tt0191242,The Last Stop,2000,94
tt0191397,The Replacements,2000,118
tt0191636,Widow of St. Pierre,2000,112
tt0191754,28 Days,2000,103
tt0191787,Apartment Hunting,2000,89
tt0191996,Essex Boys,2000,102
tt0192023,Finder's Fee,2001,100
tt0192071,Get Over It,2001,87
tt0192110,Head Games,2001,90
tt0192111,Head Over Heels,2001,86
tt0192126,Honest,2000,110
tt0192237,Leo und Claire,2001,103
tt0192255,The Little Vampire,2000,95
tt0192295,Marlene,2000,132
tt0192346,Shadows of Memories,2000,122
tt0192455,Picking Up the Pieces,2000,95
tt0192528,Heaven & Hell,2018,104
tt0192614,The Skulls,2000,106
tt0192719,No Alibi,2000,90
tt0192731,Urban Legends: Final Cut,2000,97
tt0192788,Where the Red Fern Grows,2003,86
tt0192789,While Supplies Last,2002,120
tt0192912,Married 2 Malcolm,2000,76
tt0192947,12,2003,124
tt0192949,Stardom,2000,100
tt0193011,Black Ball,2003,80
tt0193135,Enemies of Laughter,2000,90
tt0193318,Merlin: The Return,2000,90
tt0193364,The Order,2001,89
tt0193365,Orphan,2001,99
tt0193537,Summer Rain,2001,92
tt0193545,Looking for Leonard,2002,87
tt0193560,Texas Rangers,2001,90
tt0193598,Unforeseen,2002,80
tt0193854,A Shot at Glory,2000,114
tt0193859,Dangerous Curves,2000,86
tt0194104,Leak,2000,105
tt0194218,Panic,2000,88
tt0194368,Chain of Fools,2000,98
tt0194410,The Stray,2000,90
tt0194519,We Married Margo,2000,85
tt0195108,Lies... In Love,2001,97
tt0195234,Saving Grace,2000,93
tt0195308,Starforce,2000,93
tt0195393,Harold Robbins' Body Parts,2001,87
tt0195551,Berlin Nights,2005,45
tt0195631,Alone with a Stranger,2000,90
tt0195685,Erin Brockovich,2000,131
tt0195714,Final Destination,2000,98
tt0195778,Here on Earth,2000,96
tt0195857,Kin,2000,89
tt0195860,Knockout,2000,110
tt0195944,Newsbreak,2000,94
tt0195945,Next Friday,2000,98
tt0196068,Sam the Man,2001,87
tt0196069,Samsara,2001,145
tt0196106,MVP: Most Valuable Primate,2000,93
tt0196158,Ticker,2001,92
tt0196216,Small Time Crooks,2000,94
tt0196219,The Wrecking Crew,2000,80
tt0196223,The Right Temptation,2000,95
tt0196229,Zoolander,2001,90
tt0196708,Lockdown,2000,105
tt0196723,Forever Lulu,2000,99
tt0197072,Escape Under Pressure,2000,94
tt0197096,What's Cooking?,2000,109
tt0197299,Black Sea Raid,2000,82
tt0197384,Crime + Punishment in Suburbia,2000,100
tt0197633,Live Freaky Die Freaky,2006,75
tt0197644,Loveblind,2000,99
tt0197646,Lush,2000,93
tt0197750,Paranoid,2000,93
tt0197753,Partners in Crime,2000,90
tt0197862,See Jane Run,2001,90
tt0197929,The Surprise Party,2001,89
tt0197996,Vampires Anonymous,2003,88
tt0198013,29 and Holding,2004,89
tt0198021,Where the Heart Is,2000,120
tt0198284,After Sex,2000,96
tt0198386,The Crew,2000,88
tt0198460,Escape to Grizzly Mountain,2000,95
tt0198748,Mergers & Acquisitions,2001,90
tt0198781,"Monsters, Inc.",2001,92
tt0198893,Passion's Desire,2000,95
tt0198903,Perfect Fit,2000,103
tt0199007,Secret Pleasures,2002,90
tt0199129,The Visit,2000,107
tt0199290,3 Strikes,2000,82
tt0199314,About Adam,2000,97
tt0199481,Druids,2001,120
tt0199504,The Exchange,2000,95
tt0199602,Holy Hollywood,2021,82
tt0199626,In the Cut,2003,119
tt0199650,Jill Rips,2000,94
tt0199725,Love & Basketball,2000,124
tt0199727,"Love, Honor and Obey",2000,103
tt0199744,Mambo Café,2000,98
tt0199753,Red Planet,2000,106
tt0199898,Old Master Q 2001,2001,104
tt0199974,The Prophet's Game,2000,106
tt0200027,Riding in Cars with Boys,2001,132
tt0200171,Stanley's Gig,2000,93
tt0200192,Cheeky,2000,91
