movie_id,genre_id
tt0147486,5
tt0148415,9
tt0148421,7
tt0148421,13
tt0149253,7
tt0149253,11
tt0149253,23
tt0149367,5
tt0149367,6
tt0149367,7
tt0149624,7
tt0149624,18
tt0149624,24
tt0150021,0
tt0150021,5
tt0151150,0
tt0151150,7
tt0151150,14
tt0151299,0
tt0151309,5
tt0151685,7
tt0152083,7
tt0152772,1
tt0153012,6
tt0153012,7
tt0153012,22
tt0153100,7
tt0153464,7
tt0153464,18
tt0153516,1
tt0153517,1
tt0153517,6
tt0153517,15
tt0153533,12
tt0154187,7
tt0155150,7
tt0156020,4
tt0156020,6
tt0156020,7
tt0156100,5
tt0156100,12
tt0156323,5
tt0156323,6
tt0156376,5
tt0156376,18
tt0156741,5
tt0156741,18
tt0156757,5
tt0156757,7
tt0156757,18
tt0156807,5
tt0156812,5
tt0156812,7
tt0156812,8
tt0156841,5
tt0156841,7
tt0156841,18
tt0156942,7
tt0157007,7
tt0157007,22
tt0157122,7
tt0157122,18
tt0157191,7
tt0157191,18
tt0157202,0
tt0157202,6
tt0157202,7
tt0157262,5
tt0157262,19
tt0157472,0
tt0157472,2
tt0157472,5
tt0157583,7
tt0157583,15
tt0157583,18
tt0157836,12
tt0157836,22
tt0158033,4
tt0158033,7
tt0158622,5
tt0158622,8
tt0158622,18
tt0159273,0
tt0159273,7
tt0159273,22
tt0159290,7
tt0159290,13
tt0159291,5
tt0159365,2
tt0159365,7
tt0159365,18
tt0159371,5
tt0159371,7
tt0159371,18
tt0159378,0
tt0159378,7
tt0159378,20
tt0159396,22
tt0159784,4
tt0159784,6
tt0159784,7
tt0160009,0
tt0160009,2
tt0160009,6
tt0160127,0
tt0160127,2
tt0160127,5
tt0160184,6
tt0160184,22
tt0160239,5
tt0160239,18
tt0160240,5
tt0160240,7
tt0160256,22
tt0160261,22
tt0160270,5
tt0160275,0
tt0160275,7
tt0160289,6
tt0160289,7
tt0160289,15
tt0160399,7
tt0160399,15
tt0160399,19
tt0160403,5
tt0160425,5
tt0160425,18
tt0160434,22
tt0160447,5
tt0160480,5
tt0160480,7
tt0160480,18
tt0160484,7
tt0160484,12
tt0160484,22
tt0160495,6
tt0160495,7
tt0160495,15
tt0160547,5
tt0160547,6
tt0160547,7
tt0160611,5
tt0160611,6
tt0160616,7
tt0160616,18
tt0160616,22
tt0160644,7
tt0160644,15
tt0160644,18
tt0160652,22
tt0160663,6
tt0160663,7
tt0160663,22
tt0160706,6
tt0160706,7
tt0160706,22
tt0160710,5
tt0160710,13
tt0160710,18
tt0160749,7
tt0160749,18
tt0160751,7
tt0160751,8
tt0160759,7
tt0160759,22
tt0160797,7
tt0160797,22
tt0160797,23
tt0160859,22
tt0160870,22
tt0160905,5
tt0160905,8
tt0161003,7
tt0161081,7
tt0161081,12
tt0161081,15
tt0161083,5
tt0161083,6
tt0161088,7
tt0161216,4
tt0161216,7
tt0161216,18
tt0161860,4
tt0161860,7
tt0161860,11
tt0162030,12
tt0162030,19
tt0162030,22
tt0162203,5
tt0162203,18
tt0162222,2
tt0162222,7
tt0162222,18
tt0162346,5
tt0162346,7
tt0162650,0
tt0162650,6
tt0162650,22
tt0162711,5
tt0162711,6
tt0162711,15
tt0162838,7
tt0162983,5
tt0162983,7
tt0163025,0
tt0163025,2
tt0163025,19
tt0163080,3
tt0163080,8
tt0163080,14
tt0163125,5
tt0163125,7
tt0163125,22
tt0163246,5
tt0163246,8
tt0163246,18
tt0163566,22
tt0163596,6
tt0163596,7
tt0163596,15
tt0163676,7
tt0163676,15
tt0163676,22
